dataset,trial,error_type,intensity,features,model,accuracy,f1_macro,f1_weighted
winequality-red.csv,1,NAR,0.1,target,RF,0.646875,0.2752027625442642,0.6419239623750871
winequality-red.csv,1,NAR,0.1,alcohol,RF,0.6,0.21450117926579831,0.5959536519960534
winequality-red.csv,1,NAR,0.1,target,LinearSVM,0.584375,0.21818762336003714,0.5293321142459073
winequality-red.csv,1,NAR,0.1,alcohol,LinearSVM,0.58125,0.2304323770702735,0.5357197835283946
winequality-red.csv,1,NAR,0.1,target,KNN,0.490625,0.21410506575044355,0.4831044327776575
winequality-red.csv,1,NAR,0.1,alcohol,KNN,0.496875,0.20233019295519294,0.4942556980056979
winequality-red.csv,1,NAR,0.2,target,RF,0.6625,0.2799744897959184,0.6565161401098901
winequality-red.csv,1,NAR,0.2,alcohol,RF,0.546875,0.22500444711341339,0.593361752806097
winequality-red.csv,1,NAR,0.2,target,LinearSVM,0.58125,0.2100352078047245,0.5220210066678468
winequality-red.csv,1,NAR,0.2,alcohol,LinearSVM,0.571875,0.20802270652217061,0.5169393831130166
winequality-red.csv,1,NAR,0.2,target,KNN,0.478125,0.17987275421692184,0.4855721916926751
winequality-red.csv,1,NAR,0.2,alcohol,KNN,0.403125,0.16394038531443111,0.44064135768811336
winequality-red.csv,1,NAR,0.3,target,RF,0.56875,0.26006667580764115,0.5840003812605679
winequality-red.csv,1,NAR,0.3,alcohol,RF,0.3375,0.16467666243299678,0.43891653929778485
winequality-red.csv,1,NAR,0.3,target,LinearSVM,0.59375,0.24217391304347827,0.5530507246376811
winequality-red.csv,1,NAR,0.3,alcohol,LinearSVM,0.24375,0.13078991046590457,0.3403698249059074
winequality-red.csv,1,NAR,0.3,target,KNN,0.434375,0.2155532825052136,0.4608867073118601
winequality-red.csv,1,NAR,0.3,alcohol,KNN,0.29375,0.14423260571634838,0.3652443534647751
winequality-red.csv,1,NAR,0.5,target,RF,0.440625,0.2314069492151684,0.4953258214388351
winequality-red.csv,1,NAR,0.5,alcohol,RF,0.071875,0.06112188635829431,0.12906684916837668
winequality-red.csv,1,NAR,0.5,target,LinearSVM,0.584375,0.27738446546908924,0.5364620404314112
winequality-red.csv,1,NAR,0.5,alcohol,LinearSVM,0.003125,0.0022148394241417496,0.006201550387596899
winequality-red.csv,1,NAR,0.5,target,KNN,0.290625,0.16007934032134866,0.35585106528532573
winequality-red.csv,1,NAR,0.5,alcohol,KNN,0.1125,0.07150271950860249,0.1740741982405447
winequality-red.csv,2,NNAR,0.1,target,RF,0.64375,0.3221599129015284,0.6302227793725195
winequality-red.csv,2,NNAR,0.1,alcohol,RF,0.609375,0.2696849120082816,0.6122735507246377
winequality-red.csv,2,NNAR,0.1,target,LinearSVM,0.540625,0.19510706254405966,0.48497619300795136
winequality-red.csv,2,NNAR,0.1,alcohol,LinearSVM,0.546875,0.20616499031010485,0.49825811569819384
winequality-red.csv,2,NNAR,0.1,target,KNN,0.446875,0.22729709576444035,0.4395549202683047
winequality-red.csv,2,NNAR,0.1,alcohol,KNN,0.421875,0.1838868144530543,0.42374119795236326
winequality-red.csv,2,NNAR,0.2,target,RF,0.596875,0.30101738041817055,0.5916944078626475
winequality-red.csv,2,NNAR,0.2,alcohol,RF,0.55,0.2432217307975822,0.5719425438596492
winequality-red.csv,2,NNAR,0.2,target,LinearSVM,0.525,0.18855495925263366,0.4689934406678592
winequality-red.csv,2,NNAR,0.2,alcohol,LinearSVM,0.534375,0.16439826839826838,0.4772848484848485
winequality-red.csv,2,NNAR,0.2,target,KNN,0.4625,0.22507756895655928,0.45193916196836315
